image_id,caption,n,n_objects,n_relations,n_attributes,n_connected_components,hard_negs,x,y,width,height
2359296,a door with panes in a room; the door has windows,7,5,2,0,3,"['a door with panes in a wall; the door has windows', 'a door with panes in a room; the door has utility', 'a door with tap in a room; the door has windows', 'a door with window in a room; the door has windows', 'a grille with panes in a room; the door has windows']",4.0,44.0,495.0,254.0
4,"a table with a table top, a window, a chair, and padding",7,5,2,0,3,"['a table with a table top, a pedestal, a chair, and padding', 'a table with a table top, a window, a bench, and padding', 'a head with a table top, a window, a chair, and padding', 'a table with a table top, a window, a chair, and bed', 'a table with a table top, a rack, a chair, and padding']",387.0,4.0,253.0,434.0
16,a car on a street with a cone and light,7,4,3,0,1,"['a car on a street with a line and light', 'a car on a street with a cone and dark', 'a bike on a street with a cone and light', 'a car on a street with a cone and carrier', 'a car on a street with a cone and heavy']",19.0,68.0,215.0,414.0
23,a tree casting shadows on the ground with a sign mounted to the tree,7,4,3,0,1,"['a tree casting shadows under the ground with a sign mounted to the tree', 'a tree casting shadows on the water with a sign mounted to the tree', 'a tree casting shadows on the ice with a sign mounted to the tree', 'a tree casting shadows on the ground with a pro mounted to the tree', 'a tree casting shadows across the ground with a sign mounted to the tree']",1.0,0.0,798.0,599.0
27,"an air conditioner next to a wall with a switch, and a reflection on the wall",7,4,3,0,1,"['an air conditioner next to a room with a switch, and a reflection on the wall', 'an air conditioner next to a wall with a switch, and a line on the wall', 'an air conditioner next to a wall with a dial, and a reflection on the wall', 'an air cinsideditioner next to a wall with a switch, and a reflection on the wall', 'an air conditioner next to a wall with a switch, and a key on the wall']",117.0,2.0,683.0,466.0
28,"a couch with a cloth, pillow, and another pillow",7,4,3,0,1,"['a couch with a marker, pillow, and another pillow', 'a couch with a cloth, mat, and another pillow', 'a dresser with a cloth, pillow, and another pillow', 'a desk with a cloth, pillow, and another pillow', 'a couch with a bed, pillow, and another pillow']",0.0,324.0,511.0,268.0
33,a rug on the floor with reflections of tiles,7,4,3,0,2,"['a rug on the floor with reflections of four', 'a rug on the floor with line of tiles', 'a glass on the floor with reflections of tiles', 'a rug below the floor with reflections of tiles', 'a rug on the face with reflections of tiles']",378.0,359.0,410.0,220.0
48,a taxi on the street with windows by the street and a building with windows,7,4,3,0,1,"['a taxi on the motorway with windows by the street and a building with windows', 'a taxi on the expressway with windows by the street and a building with windows', 'a taxi inside the street with windows by the street and a building with windows', 'a taxi on the street with loop by the street and a building with windows', 'a taxi on the street with application by the street and a building with windows']",111.0,16.0,541.0,489.0
53,a building with a window and an entrance,7,4,3,0,1,"['a building with a grill and an entrance', 'a building with a window and an canal', 'a building with a window and an lane', 'a staircase with a window and an entrance', 'a building with a cornice and an entrance']",225.0,4.0,533.0,335.0
53,a doorway to a building with no lighting; there is a tree in front of the building,7,4,3,0,1,"['a doorway to a window with no lighting; there is a tree in front of the building', 'a doorway to a building with no top; there is a tree in front of the building', 'a doorway to a building with no lighting; there is a bush in front of the building', 'a wallway to a building with no lighting; there is a tree in front of the building', 'a doorway to a building with no standing; there is a tree in front of the building']",5.0,3.0,465.0,476.0
57,a store with a sign that is hanging on a building that has an entrance,7,4,3,0,1,"['a store with a sign that is hanging on a building that has an crossing', 'a store with a sign that is hanging on a building that refuse an entrance', 'a nightclub with a sign that is hanging on a building that has an entrance', 'a store with a case that is hanging on a building that has an entrance', 'a store with a sign that is hanging on a balcony that has an entrance']",1.0,1.0,234.0,409.0
74,a screen on a wall with a woman and people on the screen,7,4,3,0,1,"['a screen on a wall with a computer and people on the screen', 'a screen on a screen with a woman and people on the screen', 'a screen on a corner with a woman and people on the screen', 'a window on a wall with a woman and people on the screen', 'a band on a wall with a woman and people on the screen']",469.0,23.0,293.0,506.0
74,three chairs near a table,7,4,3,0,1,"['three benchs near a table', 'three chairs near a bank', 'three booths near a table', 'three chairs at a table', 'three chairs on a table']",356.0,394.0,348.0,203.0
92,a napkin with a spoon and fork on top of a placemat,7,4,3,0,1,"['a napkin with a spoon and glass on top of a placemat', 'a slip with a spoon and fork on top of a placemat', 'a napkin with a plate and fork on top of a placemat', 'a napkin with a spoon and dish on top of a placemat', 'a napkin with a pot and fork on top of a placemat']",8.0,138.0,432.0,219.0
94,a knife next to a plate with a shrimp and an egg on it,7,4,3,0,1,"['a knife next to a plate with a shrimp and an egg across it', 'a scissors next to a plate with a shrimp and an egg on it', 'a razor next to a plate with a shrimp and an egg on it', 'a knife next to a plate with a chicken and an egg on it', 'a knife next to a plate with a shrimp and an egg under it']",28.0,22.0,402.0,343.0
112,a chair with an armrest and back,7,4,3,0,1,"['a desk with an armrest and back', 'a chair with an armrest and small', 'a chair with an armrest and section', 'a chair with an strap and back', 'a bench with an armrest and back']",64.0,355.0,259.0,243.0
129,"a tree with a fence around it, and wood and grass nearby",7,4,3,0,1,"['a tree with a wing around it, and wood and grass nearby', 'a tree with a fence around it, and wood and grass overby', 'a tree with a fence around it, and wood and cabbage nearby', 'a bush with a fence around it, and wood and grass nearby', 'a tree with a fence around it, and soil and grass nearby']",0.0,13.0,778.0,443.0
164,"a building with a roof and a line, and a light inside the building",7,4,3,0,1,"['a buildoverg with a roof and a line, and a light inside the building', 'a building with a roof and a column, and a light inside the building', 'a building with a shelter and a line, and a light inside the building', 'a building with a roof and a wing, and a light inside the building', 'a building with a roof and a line, and a carrier inside the building']",1.0,6.0,493.0,325.0
175,"bus with a license plate and a strip on the front, and headlights",7,4,2,1,2,"['bus with a license plate and a strip on the front, and spotlight', 'bus with a license plate and a strip below the front, and headlights', 'bus with a license plate and a strip inside the front, and headlights', 'bus with a license plate and a couple on the front, and headlights', 'bus with a license plate and a strip on the front, and spot']",66.0,272.0,265.0,222.0
185,a door leading into an auditorium with seats and a balcony,7,4,3,0,1,"['a door leading into an auditorium with seats and a station', 'a door leading into an room with seats and a balcony', 'a door leading into an auditorium with parking and a balcony', 'a door leading into an auditorium with seats and a brick', 'a gate leading into an auditorium with seats and a balcony']",5.0,8.0,794.0,522.0
200,umbrella on table with tray and chair behind it,7,4,3,0,1,"['umbrella on rear with tray and chair behind it', 'umbrella inside table with tray and chair behind it', 'umbrella on column with tray and chair behind it', 'umbrella on table with pot and chair behind it', 'umbrella below table with tray and chair behind it']",3.0,0.0,495.0,303.0
212,"a futon with a leg on the floor, and a rug on the floor",7,4,3,0,1,"['a futon with a leg on the floor, and a seat on the floor', 'a futon with a forearm on the floor, and a rug on the floor', 'a futon with a leg on the floor, and a boot on the floor', 'a tick with a leg on the floor, and a rug on the floor', 'a futon with a leg on the edge, and a rug on the floor']",0.0,280.0,399.0,318.0
212,"a speaker and another speaker mounted to a wall, and a lamp on the wall",7,4,3,0,1,"['a speaker and another speaker mounted to a wall, and a light on the wall', 'a speaker and another speaker mounted to a corner, and a lamp on the wall', 'a hack and another speaker mounted to a wall, and a lamp on the wall', 'a speaker and another speaker mounted to a wall, and a lamp under the wall', 'a speaker and another speaker mounted to a wall, and a panel on the wall']",0.0,22.0,332.0,311.0
238,napkin and empty bowl on top of plate,7,4,2,1,2,"['slip and empty bowl on top of plate', 'napkin and empty bowl across top of plate', 'sheet and empty bowl on top of plate', 'napkin and empty purse on top of plate', 'napkin and fill bowl on top of plate']",65.0,53.0,341.0,320.0
241,a plate with grease on it that is on a table made of wood,7,4,3,0,2,"['a plate with grease on it that is on a line made of wood', 'a plate with grease on it that is on a table made of skin', 'a plate with grease under it that is on a table made of wood', 'a plate with oil on it that is on a table made of wood', 'a plate with petroleum on it that is on a table made of wood']",0.0,2.0,639.0,476.0
243,a trafficcone on the ground next to a car; a man is walking on the ground,7,4,3,0,1,"['a trafficcone on the ground next to a motorcycle; a man is walking on the ground', 'a trafficcone on the water next to a car; a man is walking on the ground', 'a trafficcone on the ground next to a car; a girl is walking on the ground', 'a trafficcone on the ground next to a truck; a man is walking on the ground', 'a trafficcinsidee on the ground next to a car; a man is walking on the ground']",1.0,83.0,530.0,715.0
267,"leaves, shadows, and grass on the ground",7,4,3,0,1,"['leaves, shadows, and grass across the ground', 'head, shadows, and grass on the ground', 'leaves, shadows, and grass on the moon', 'stalk, shadows, and grass on the ground', 'leaves, shadows, and mustard on the ground']",0.0,408.0,599.0,392.0
271,a street light alongside a road with lines and a railing,7,4,3,0,1,"['a street light alongside a road with row and a railing', 'a street light alongside a road with center and a railing', 'a street light alongside a road with lines and a hazard', 'a street light alongside a road with lines and a fence', 'a street light alongside a fountain with lines and a railing']",488.0,124.0,311.0,471.0
302,"a window on a building, with two windows of the building to the right",7,4,3,0,1,"['a window under a building, with two windows of the building to the right', 'a grille on a building, with two windows of the building to the right', 'a window below a building, with two windows of the building to the right', 'a frame on a building, with two windows of the building to the right', 'a window on a side, with two windows of the building to the right']",18.0,18.0,704.0,396.0
306,three windows on a building,7,4,3,0,1,"['three windows on a wall', 'three bases on a building', 'three bucks on a building', 'three windows under a building', 'three windows on a balcony']",111.0,113.0,232.0,224.0
314,a man walking on a sidewalk with a tree and trashbags,7,4,3,0,1,"['a man walking on a sidewalk with a tobacco and trashbags', 'a boy walking on a sidewalk with a tree and trashbags', 'a man walking on a mall with a tree and trashbags', 'a man walking on a sidewalk with a banana and trashbags', 'a woman walking on a sidewalk with a tree and trashbags']",253.0,124.0,457.0,321.0
341,a tree in front of a building with a window,7,5,2,0,3,"['a tree in front of a building with a horse', 'a cactus in front of a building with a window', 'a tree in front of a building with a frame', 'a tree in front of a window with a window', 'a tree in front of a door with a window']",1.0,0.0,389.0,413.0
345,a car parked on the street; people walking down the street,7,5,2,0,3,"['a tank parked on the street; people walking down the street', 'a car parked on the street; humanity walking down the street', 'a car parked on the trail; people walking down the street', 'a car parked on the expressway; people walking down the street', 'a car parked on the street; humans walking down the street']",74.0,128.0,565.0,305.0
358,cords coming from an outlet that is mounted on a wall,7,4,3,0,1,"['cords coming from an outlet that is mounted on a support', 'cords coming from an outlet that is mounted on a spike', 'white coming from an outlet that is mounted on a wall', 'mortars coming from an outlet that is mounted on a wall', 'waters coming from an outlet that is mounted on a wall']",0.0,0.0,799.0,516.0
360,a keyboard in front of a monitor on a shelf that is mounted on a wall,7,4,3,0,1,"['a keyboard in front of a monitor on a board that is mounted on a wall', 'a keyboard in front of a boss on a shelf that is mounted on a wall', 'a line in front of a monitor on a shelf that is mounted on a wall', 'a keyboard in front of a monitor on a rack that is mounted on a wall', 'a keyboard in front of a monitor on a shelf that is mounted on a brass']",0.0,0.0,799.0,440.0
363,3 lights on a pole,7,4,3,0,1,"['3 darks on a pole', '3 lights on a shaft', '3 lights on a server', '3 lights inside a pole', '3 lights below a pole']",153.0,56.0,643.0,543.0
370,a keyboard and monitor on a desk with a chair in front of the desk,7,4,3,0,1,"['a bar and monitor on a desk with a chair in front of the desk', 'a keyboard and foreman on a desk with a chair in front of the desk', 'a keyboard and monitor on a dresser with a chair in front of the desk', 'a keyboard and monitor on a desk with a couch in front of the desk', 'a keyboard and monitor on a desk with a desk in front of the desk']",295.0,288.0,312.0,307.0
384,a paper cup on a desk in front of a man in a black chair,7,4,2,1,2,"['a paper cup on a desk in front of a computer in a black chair', 'a paper cup on a desk in front of a woman in a black chair', 'a paper cup on a desk in front of a man in a black desk', 'a paper cup on a desk in front of a man in a blue chair', 'a paper cup on a desk in front of a man in a black dresser']",1.0,84.0,797.0,499.0
405,a desk with a monitor placed on it and two monitors on it,7,4,3,0,1,"['a counter with a monitor placed on it and two monitors on it', 'a desk with a monitor placed on it and two director on it', 'a desk with a boss placed on it and two monitors on it', 'a desk with a monitor placed on it and two boss on it', 'a bed with a monitor placed on it and two monitors on it']",110.0,215.0,407.0,342.0
409,a soda bottle and sodanother bottle in front of a window with hinges,7,4,3,0,1,"['a soda bottle and sodanother bottle in front of a pedestal with hinges', 'a soda bottle and sodanother bottle in front of a rack with hinges', 'a soda bottle and sodanother bottle in frinsidet of a window with hinges', 'a soda bottle and sodanother bottle in front of a window with butt', 'a soda bottle and sodanother bottle in front of a window with point']",488.0,0.0,311.0,397.0
440,a lady sitting on the sidewalk with a hat on a woman's head,7,5,2,0,3,"[""a lady sitting on the sidewalk with a helmet on a woman's head"", ""a figure sitting on the sidewalk with a hat on a woman's head"", ""a guy sitting on the sidewalk with a hat on a woman's head"", ""a lady sitting on the sidewalk with a shirt on a woman's head"", ""a lady sitting on the boardwalk with a hat on a woman's head""]",382.0,301.0,350.0,286.0
462,"a hydrant with a pole leaning over it and a cap on the hydrant, on a sidewalk",7,4,3,0,1,"['a pot with a pole leaning over it and a cap on the hydrant, on a sidewalk', 'a hydrant with a pole leaning over it and a hat on the hydrant, on a sidewalk', 'a hydrant with a pole leaning over it and a cap on the hydrant, on a mall', 'a hydrant with a staff leaning over it and a cap on the hydrant, on a sidewalk', 'a hydrant with a pole leaning over it and a cap under the hydrant, on a sidewalk']",392.0,21.0,407.0,465.0
463,a suv in the street with a building across the street; the building has a window on it,7,4,3,0,1,"['a cab in the street with a building across the street; the building has a window on it', 'a suv in the expressway with a building across the street; the building has a window on it', 'a suv by the street with a building across the street; the building has a window on it', 'a suv in the street with a building across the street; the building has a base on it', 'a suv in the street with a building across the street; the building has a window below it']",350.0,28.0,445.0,564.0
485,a bicycle next to a building with a window and another window inside the building,7,4,3,0,1,"['a carriage next to a building with a window and another window inside the building', 'a bicycle next to a building with a frame and another window inside the building', 'a bicycle next to a buildaroundg with a window and another window inside the building', 'a bicycle next to a door with a window and another window inside the building', 'a bicycle next to a window with a window and another window inside the building']",484.0,1.0,314.0,472.0
488,a building behind a tree with leaves,7,5,2,0,3,"['a window behind a tree with leaves', 'a sign behind a tree with leaves', 'a building behind a bush with leaves', 'a building behind a tree with runner', 'a buildbyg behind a tree with leaves']",3.0,0.0,597.0,360.0
490,paper hanging from holder on wall,7,4,3,0,2,"['paper hanging from holder on branch', 'metal hanging from holder on wall', 'paper hanging from shelf on wall', 'paper hanging from holder on deck', 'water hanging from holder on wall']",465.0,16.0,246.0,406.0
492,a bed with a night stand to the left of it and a lamp on the night stand. there are pillows on the bed.,7,4,3,0,1,"['a bed with a night stand to the left of it and a lamp on the night stand. there are mattress on the bed.', 'a bed with a night stand to the left of it and a light on the night stand. there are pillows on the bed.', 'a bed with a night stand to the left of it and a lamp on the night stand. there are batting on the bed.', 'a bed with a night stand to the left of it and a lamp below the night stand. there are pillows on the bed.', 'a bed with a night stand to the left of it and a lamp inside the night stand. there are pillows on the bed.']",167.0,98.0,555.0,440.0
507,table and chair with light overhanging table,7,4,2,1,2,"['table and chair with carrier overhanging table', 'column and chair with light overhanging table', 'table and chair with dark overhanging table', 'line and chair with light overhanging table', 'table and chair with heavy overhanging table']",112.0,0.0,478.0,569.0
507,"a window with blinds and a heater, and blinds in front of the window",7,4,3,0,1,"['a grill with blinds and a heater, and blinds in front of the window', 'a window with blinds and a bowl, and blinds in front of the window', 'a frame with blinds and a heater, and blinds in front of the window', 'a window with wardrobe and a heater, and blinds in front of the window', 'a window with blinds and a light, and blinds in front of the window']",96.0,2.0,537.0,389.0
